expression	#2768
cancer	#1454
associated	#600
role	#532
mutations	#450
patients	#440
levels	#435
cells	#351
expressed	#281
overexpressed	#259
polymorphism	#230
association	#230
factor	#226
gene	#199
overexpression	#196
genes	#195
status	#191
marker	#191
detected	#183
found	#180
significance	#179
cancers	#174
correlated	#164
increased	#163
polymorphisms	#151
mutation	#148
lines	#148
carcinoma	#145
play	#143
promotes	#140
observed	#129
examined	#122
analysis	#116
expressions	#115
identified	#114
analyzed	#114
level	#113
plays	#112
involved	#111
value	#109
up-regulated	#109
effect	#109
results	#103
risk	#102
relationship	#101
methylation	#100
carcinomas	#98
activity	#96
effects	#94
studied	#93
upregulated	#92
loss	#91
pathway	#90
target	#90
correlation	#87
markers	#87
biomarker	#87
tumors	#87
detection	#86
investigated	#82
therapy	#81
performed	#76
treatment	#75
related	#74
decreased	#72
involvement	#71
alterations	#69
evaluated	#69
lower	#69
down-regulated	#68
measured	#67
roles	#66
assessed	#66
elevated	#63
induces	#61
impact	#61
signaling	#61
protein	#61
activation	#59
frequency	#58
function	#57
inhibited	#57
inhibits	#56
targeting	#56
reduced	#55
contribute	#55
positive	#54
regulates	#53
detect	#53
resistance	#52
downregulated	#52
determined	#52
correlates	#51
rate	#51
line	#51
regulation	#50
receptor	#50
suppresses	#49
%	#48
common	#48
event	#48
identify	#48
induced	#47
implicated	#47
study	#46
antibodies	#46
presence	#46
factors	#46
caused	#45
methylated	#44
testing	#43
syndrome	#42
variants	#42
mutated	#42
contribution	#41
screened	#40
express	#40
frequent	#39
linked	#39
relevance	#39
distribution	#39
upregulation	#37
promote	#37
associations	#37
pattern	#37
influence	#37
tissues	#37
hypermethylation	#36
reported	#36
rates	#36
increase	#36
promoted	#35
genotyped	#34
indicator	#34
compared	#34
contributes	#33
occur	#33
patterns	#33
changes	#32
analysed	#31
regulated	#31
evaluation	#31
antigen	#31
mrna	#31
inhibition	#31
accumulation	#30
silencing	#30
suppressed	#30
localization	#30
content	#30
sensitivity	#30
predictor	#30
transfected	#29
interaction	#29
loci	#29
demonstrated	#29
biomarkers	#29
functions	#28
inhibitors	#28
profile	#28
down-regulation	#28
conclusions	#27
induction	#27
stained	#27
proteins	#27
downregulation	#27
samples	#27
quantified	#26
investigate	#26
antigens	#26
profiles	#26
knockdown	#25
over-expressed	#25
using	#25
features	#25
exhibited	#25
therapies	#25
concentrations	#24
shown	#24
targets	#24
activated	#24
model	#24
suppression	#23
incidence	#23
revealed	#23
growth	#23
progression	#23
enhanced	#23
importance	#22
increases	#22
concentration	#21
characterized	#21
specimens	#21
apoptosis	#21
inactivation	#21
responsible	#21
panel	#21
inhibitor	#21
tumours	#20
inhibit	#20
invasion	#20
act	#20
production	#20
occurs	#20
assayed	#20
carcinogenesis	#20
mechanism	#20
suggest	#20
up-regulation	#19
confirmed	#19
variation	#19
survival	#19
variant	#19
tested	#19
over-expression	#19
adenocarcinomas	#18
potential	#18
correlate	#18
similar	#18
suggested	#18
rare	#18
seen	#18
response	#18
prevalence	#17
snps	#17
displayed	#17
values	#17
stage	#17
evaluate	#17
silenced	#17
serve	#17
screening	#17
affect	#17
genotype	#17
development	#17
receptors	#17
lack	#16
considered	#16
regulate	#16
pathways	#16
underlie	#16
phosphorylation	#16
enhances	#16
treated	#16
modification	#15
identification	#15
negative	#15
