expression	#3608
cancer	#1553
protein	#1279
cells	#1020
associated	#740
role	#727
genes	#668
gene	#629
expressed	#606
patients	#496
levels	#491
cancers	#474
receptor	#356
risk	#342
overexpressed	#330
mutations	#311
overexpression	#289
lines	#279
activity	#242
factor	#241
tumors	#240
promotes	#229
association	#220
status	#218
found	#217
correlated	#207
polymorphism	#195
increased	#184
identified	#183
polymorphisms	#178
effect	#178
effects	#177
detected	#168
inhibits	#168
marker	#168
activation	#161
observed	#158
line	#155
target	#149
regulation	#145
pathway	#142
plays	#140
analysis	#138
express	#136
p-glycoprotein	#132
loss	#132
inhibition	#130
markers	#129
carcinomas	#124
resistance	#124
upregulated	#123
play	#120
significance	#119
function	#118
regulates	#118
level	#118
signaling	#115
value	#115
induces	#113
inhibitors	#112
treatment	#111
induced	#110
antigen	#106
results	#103
examined	#100
elevated	#99
knockdown	#98
carcinoma	#98
up-regulated	#93
down-regulated	#93
downregulated	#92
analyzed	#92
inhibited	#91
proteins	#90
correlation	#89
mutation	#89
factors	#87
reduced	#86
growth	#85
contribute	#82
induction	#81
kinase	#80
relationship	#80
suppresses	#79
investigated	#79
involvement	#77
regulated	#75
variants	#75
evaluated	#74
decreased	#72
transfected	#71
involved	#71
targeting	#71
model	#70
performed	#69
therapy	#68
associations	#68
%	#67
interaction	#67
implicated	#67
determined	#64
suppressor	#63
influence	#63
contribution	#62
impact	#61
apoptosis	#61
studied	#61
correlates	#60
measured	#60
assessed	#60
demonstrated	#59
study	#59
women	#58
methylation	#58
silencing	#57
secretion	#57
related	#57
migration	#57
contributes	#56
roles	#56
proliferation	#56
carriers	#55
down-regulation	#55
detection	#54
er	#54
lower	#54
sensitizes	#53
shown	#52
production	#52
increases	#52
increase	#52
progression	#50
expressions	#50
inhibit	#49
phosphorylation	#49
transporters	#48
localization	#48
inhibitor	#48
mediated	#48
mrna	#47
genotyped	#47
presence	#47
suppressed	#46
invasion	#46
variation	#46
induce	#45
promote	#45
regulator	#45
families	#45
receptors	#45
upregulation	#44
stained	#44
enhanced	#44
analysed	#43
concentrations	#43
detect	#43
pattern	#43
biomarkers	#43
prevalence	#42
